"Rents, Australia, monthly and annual movement (%)"
,"Annual (RHS) (%)","Monthly (LHS) (%)"
"Sep-22","2.9","0.5"
"Oct-22","3.5","0.6"
"Nov-22","3.6","0.2"
"Dec-22","4.1","0.5"
"Jan-23","4.8","0.7"
"Feb-23","4.8","0.7"
"Mar-23","5.3","0.5"
"Apr-23","6.1","0.8"
"May-23","6.3","0.8"
"Jun-23","7.3","0.9"
"Jul-23","7.6","0.7"
"Aug-23","7.8","0.7"
"Sep-23","7.6","0.3(1)"
"Oct-23","6.6","-0.4(3)"
"Nov-23","7.1","0.7"
"Dec-23","7.4","0.7"
"Jan-24","7.4","0.7"
"Feb-24","7.6","0.8"
"Mar-24","7.7","0.6"
"Apr-24","7.5","0.5"
"May-24","7.4","0.8"
"Jun-24","7.1","0.6"
"Jul-24","6.9","0.6"
"Aug-24","6.8","0.6"
"Sep-24","6.6","0.1(2)"
"Oct-24","6.7","-0.3(4)"
"Nov-24","6.6","0.6"
"Dec-24","6.2","0.3"
"Jan-25","5.8","0.3"
"Feb-25","5.5","0.5"
"Mar-25","5.2","0.3"
"Apr-25","5.0","0.3"
"May-25","4.5","0.3"
"Jun-25","4.2","0.3"
"Jul-25","3.9","0.3"
"Aug-25","3.7","0.3"
"Sep-25","3.8","0.2"

"(1) CRA change (a)"
"(2) CRA change (b)"
"(3)"
"(4)"

"a. Commonwealth Rent Assistance (CRA) maximum rates increased by 15% on top of the usual biannual CPI indexation from 20 September 2023."
"b. Commonwealth Rent Assistance (CRA) maximum rates increased by 10% on top of the usual biannual CPI indexation from 20 September 2024."

"Source: Australian Bureau of Statistics, Monthly Consumer Price Index Indicator September 2025"